plate,mjd,fiberid,snMedian,psfmag_g,psfmag_r,gmr
409,51871,33,20.94748,18.54558,18.81945,-0.2738724
999,52636,347,20.8931,18.26335,18.25023,0.01312256
1000,52643,483,22.71298,18.28671,18.07888,0.2078342
1651,53442,60,20.77497,18.72456,18.6851,0.03945541
1977,53475,250,20.85072,18.27447,18.4339,-0.1594296
2819,54617,472,22.09008,18.62368,18.35737,0.2663059
2819,54617,621,20.07704,18.3505,18.83216,-0.481657
2821,54393,218,33.46942,18.6689,18.97274,-0.3038464
2822,54389,510,22.31094,19.15319,18.8637,0.2894859
2824,54452,334,28.93476,18.6663,18.62606,0.04023743
3251,54882,599,23.41661,18.74399,18.47225,0.2717419
3251,54882,615,32.54797,18.36077,18.11272,0.2480488
3253,54941,517,28.51587,18.13127,18.30997,-0.1787014
3254,54889,164,20.22896,18.74753,18.39191,0.3556194
3255,54885,224,24.45418,18.36547,18.2806,0.08487129
3255,54885,468,21.75258,18.79029,18.46703,0.3232555
3800,55486,984,20.80853,18.89122,18.53897,0.3522434
3802,55528,672,30.12036,18.54741,18.21845,0.3289642
3802,55528,868,22.73525,18.88777,18.5712,0.3165684
4038,55363,882,24.58363,18.78564,18.43273,0.3529091
4040,55605,42,23.88443,17.79224,18.11902,-0.3267879
4041,55361,606,20.88197,18.88939,18.54711,0.342289
4042,55626,40,24.96758,18.31189,18.01649,0.2954006
4043,55630,546,23.45573,18.62222,18.33899,0.2832203
4841,55895,846,22.0501,18.64333,18.26118,0.3821526
4843,55860,710,24.29996,18.68896,18.32275,0.3662109
5197,55828,314,22.81101,17.99805,18.45474,-0.4566898
5483,56017,409,22.32217,18.40113,18.10949,0.2916431
5988,56072,584,21.23943,18.81464,18.47999,0.33465
5988,56072,826,27.26904,18.31036,18.04098,0.2693844
5989,56312,382,25.6025,18.14857,18.099,0.04957199
5989,56312,385,24.57714,18.41739,18.02751,0.3898849
5990,56066,636,23.88422,18.35445,18.06852,0.2859325
